,Department,Course,Section,Instructor,Time
4410,PHYS,341,01,"Echols, Sean L.",MW 03:10 PM - 06:00 PM
4350,PHYS,341,02,"Moelter, Matthew J.",TR 03:10 PM - 06:00 PM
4411,PHYS,341,03,"Echols, Sean L.",WF 12:10 PM - 03:00 PM
4333,PHYS,341,04,"Klay, Jennifer L.",TR 08:10 AM - 11:00 AM
4295,PHYS,400,01,"Gillen, Katharina",N/A N/A - N/A
4256,PHYS,400,02,"Beekman, Matthew K.",N/A N/A - N/A
4377,PHYS,400,03,"Wissel, Stephanie Ann",N/A N/A - N/A
4269,PHYS,400,04,"Buchanan, Colleen Marlow",N/A N/A - N/A
4374,PHYS,400,05,"Walter, Ryan Kymm",N/A N/A - N/A
4375,PHYS,400,06,"Walter, Ryan Kymm",N/A N/A - N/A
4275,PHYS,400,07,"Fernsler, Jonathan G.",N/A N/A - N/A
4352,PHYS,409,02,"Saunders, Karl Francis",MWF 12:10 PM - 01:00 PM
4317,PHYS,410,01,"Jasbinsek, John Jeremy",TR 08:10 AM - 09:30 AM
4296,PHYS,461,01,"Gillen, Katharina",N/A N/A - N/A
4257,PHYS,461,02,"Beekman, Matthew K.",N/A N/A - N/A
4378,PHYS,461,03,"Wissel, Stephanie Ann",N/A N/A - N/A
4266,PHYS,461,04,"Bennert, Vardha Nicola",N/A N/A - N/A
4303,PHYS,461,05,"Gutierrez, Thomas D.",N/A N/A - N/A
4330,PHYS,461,06,"Keller, John M.",N/A N/A - N/A
4366,PHYS,461,07,"Sungar, Nilgun",N/A N/A - N/A
4351,PHYS,461,08,"Moelter, Matthew J.",N/A N/A - N/A
4426,PHYS,461,09,"Heston, Nathan Clark",N/A N/A - N/A
4354,PHYS,461,10,"Schwartz, Peter V.",N/A N/A - N/A
4416,PHYS,462,01,"Fraser, Scott T.",N/A N/A - N/A
4291,PHYS,462,02,"Gillen, Glen David",N/A N/A - N/A
4360,PHYS,462,03,"Sharpe, John P.",N/A N/A - N/A
4367,PHYS,462,04,"Sungar, Nilgun",N/A N/A - N/A
4427,PHYS,462,05,"Heston, Nathan Clark",N/A N/A - N/A
4276,PHYS,462,06,"Fernsler, Jonathan G.",N/A N/A - N/A
4334,PHYS,462,07,"Klay, Jennifer L.",N/A N/A - N/A
4433,PHYS,P122,20,"Horst, William B.",MW 05:40 PM - 07:00 PM
4434,PHYS,P122,21,"Horst, William B.",T 06:10 PM - 09:00 PM
4446,PHYS,P141,04,"Lu, Lei",MTWR 12:10 PM - 01:00 PM
1812,POLS,111,01,"Leithner, Anika C.",M 04:10 PM - 05:00 PM
1813,POLS,111,02,"Leithner, Anika C.",M 05:10 PM - 06:00 PM
1819,POLS,111,03,"Moore, Matthew J.",T 06:10 PM - 07:00 PM
1820,POLS,111,04,"Moore, Matthew J.",T 05:10 PM - 06:00 PM
1843,POLS,112,01,"Mulholland, Kathryn Kristine",MW 04:10 PM - 06:00 PM
1844,POLS,112,02,"Mulholland, Kathryn Kristine",MW 02:10 PM - 04:00 PM
1809,POLS,112,03,"Latner, Michael",MW 08:10 PM - 10:00 PM
1827,POLS,112,04,"Settle, Allen K.",MW 06:10 PM - 08:00 PM
1799,POLS,112,06,"Den Otter, Ronald C.",TR 02:10 PM - 04:00 PM
1794,POLS,112,08,"Den Hartog, Christopher F.",TR 06:10 PM - 08:00 PM
1845,POLS,112,09,"Reyes, Robert B.",TR 06:10 PM - 08:00 PM
1782,POLS,180,01,"Andrews, Amelia Caron",TR 04:10 PM - 06:00 PM
1806,POLS,225,01,"Hurt, Shelley L.",MW 06:10 PM - 08:00 PM
1784,POLS,229,01,"Arceneaux, Craig L.",MW 08:10 AM - 10:00 AM
1821,POLS,230,01,"Moore, Matthew J.",TR 09:10 AM - 11:00 AM
1800,POLS,245,01,"Den Otter, Ronald C.",TR 12:10 PM - 02:00 PM
1795,POLS,319,01,"Den Hartog, Christopher F.",TR 02:10 PM - 04:00 PM
1835,POLS,325,01,"Zhang, Ning",MW 08:10 PM - 10:00 PM
1836,POLS,325,02,"Zhang, Ning",MW 06:10 PM - 08:00 PM
1785,POLS,328,01,"Arceneaux, Craig L.",MW 12:10 PM - 02:00 PM
1829,POLS,338,01,"Williams, Jean M.",TR 12:10 PM - 02:00 PM
1830,POLS,338,02,"Williams, Jean M.",MW 02:10 PM - 04:00 PM
1828,POLS,341,01,"Settle, Allen K.",MW 02:10 PM - 04:00 PM
1801,POLS,342,01,"Den Otter, Ronald C.",MW 02:10 PM - 04:00 PM
1805,POLS,343,01,"Denbow, Jennifer M.",TR 02:10 PM - 04:00 PM
1776,POLS,359,01,"Lowham, Elizabeth A.",MW 04:10 PM - 06:00 PM
1788,POLS,361,01,"Battle, Martin F.",TR 01:40 PM - 03:00 PM
1789,POLS,361,02,"Battle, Martin F.",R 03:10 PM - 05:00 PM
1814,POLS,383,01,"Leithner, Anika C.",MW 12:10 PM - 02:00 PM
1786,POLS,385,01,"Arceneaux, Craig L.",F 10:10 AM - 12:00 PM
1802,POLS,386,03,"Den Otter, Ronald C.",N/A N/A - N/A
1822,POLS,386,07,"Moore, Matthew J.",N/A N/A - N/A
1831,POLS,386,08,"Williams, Jean M.",N/A N/A - N/A
1815,POLS,387,06,"Leithner, Anika C.",N/A N/A - N/A
1837,POLS,387,09,"Zhang, Ning",N/A N/A - N/A
1796,POLS,387,10,"Den Hartog, Christopher F.",N/A N/A - N/A
1777,POLS,387,11,"Lowham, Elizabeth A.",N/A N/A - N/A
1842,POLS,395,01,"Cooley, Justin Bardin",T 06:10 PM - 08:00 PM
1816,POLS,400,08,"Leithner, Anika C.",N/A N/A - N/A
1838,POLS,400,13,"Zhang, Ning",N/A N/A - N/A
1807,POLS,426,01,"Hurt, Shelley L.",MW 04:10 PM - 06:00 PM
1839,POLS,428,01,"Zhang, Ning",MW 02:10 PM - 04:00 PM
1823,POLS,430,01,"Moore, Matthew J.",TR 12:10 PM - 02:00 PM
1787,POLS,461,01,"Arceneaux, Craig L.",N/A N/A - N/A
1790,POLS,461,02,"Battle, Martin F.",N/A N/A - N/A
1797,POLS,461,03,"Den Hartog, Christopher F.",N/A N/A - N/A
1803,POLS,461,04,"Den Otter, Ronald C.",N/A N/A - N/A
1808,POLS,461,06,"Hurt, Shelley L.",N/A N/A - N/A
1810,POLS,461,07,"Latner, Michael",N/A N/A - N/A
1817,POLS,461,08,"Leithner, Anika C.",N/A N/A - N/A
1778,POLS,461,09,"Lowham, Elizabeth A.",N/A N/A - N/A
1824,POLS,461,10,"Moore, Matthew J.",N/A N/A - N/A
1832,POLS,461,12,"Williams, Jean M.",N/A N/A - N/A
1840,POLS,461,13,"Zhang, Ning",N/A N/A - N/A
1791,POLS,462,02,"Battle, Martin F.",N/A N/A - N/A
