,Department,Course,Section,Instructor,Time
643,AEPS,110,01,"Costello, Michael J.",MWF 08:10 AM - 09:00 AM
644,AEPS,110,02,"Costello, Michael J.",M 10:10 AM - 12:00 PM
645,AEPS,110,03,"Costello, Michael J.",M 02:10 PM - 04:00 PM
646,AEPS,110,04,"Costello, Michael J.",W 12:10 PM - 02:00 PM
340,AEPS,120,01,"Walter, Virginia R.",MWF 09:10 AM - 10:00 AM
352,AEPS,120,02,"Bush III, Elmer O.",T 12:10 PM - 03:00 PM
357,AEPS,120,03,"Chambers, Joseph William",W 03:10 PM - 06:00 PM
322,AEPS,120,04,"Hoffman, Margaret C.",R 08:10 AM - 11:00 AM
323,AEPS,123,01,"Hoffman, Margaret C.",MWF 01:10 PM - 02:00 PM
324,AEPS,123,02,"Hoffman, Margaret C.",T 08:10 AM - 11:00 AM
363,AEPS,127,01,"Manning, Christopher M.",TR 03:10 PM - 04:00 PM
364,AEPS,127,02,"Manning, Christopher M.",TR 04:10 PM - 07:00 PM
309,AEPS,132,01,"Garner, Lauren C.",MWF 11:10 AM - 12:00 PM
310,AEPS,132,02,"Garner, Lauren C.",T 08:10 AM - 11:00 AM
311,AEPS,132,03,"Garner, Lauren C.",R 08:10 AM - 11:00 AM
312,AEPS,202,01,"Garner, Lauren C.",R 12:10 PM - 01:00 PM
313,AEPS,202,02,"Garner, Lauren C.",R 01:10 PM - 03:00 PM
335,AEPS,203,01,"Tubeileh, Ashraf",T 12:10 PM - 01:00 PM
336,AEPS,203,02,"Tubeileh, Ashraf",T 01:10 PM - 03:00 PM
358,AEPS,204,01,"Chambers, Joseph William",R 12:10 PM - 01:00 PM
359,AEPS,204,02,"Chambers, Joseph William",R 01:10 PM - 03:00 PM
353,AEPS,204,07,"Bush III, Elmer O.",F 12:10 PM - 01:00 PM
354,AEPS,204,08,"Bush III, Elmer O.",F 01:10 PM - 03:00 PM
360,AEPS,212,15,"Chambers, Joseph William",N/A N/A - N/A
